priority,data_folder,sub_folder,file_name,variable_name,unit,description
,AutosamplerTest,,,,,
,AutosamplerTest,,,,,
,AutosamplerTest,,,,,
,AutosamplerTest,,,,,
,AutosamplerTest,,,,,
,AutosamplerTest,,,,,
,AutosamplerTest,,,,,
,AutosamplerTest,,,,,
,AutosamplerTest,,,,,
,SiteSelectionInfo,,,,,
,SiteSelectionInfo,,,,,
,SiteSelectionInfo,,,,,
,SiteSelectionInfo,,,,,
High,21-Aug,,,,,
High,21-Aug,,,,,
High,21-Aug,,,,,
High,21-Aug,,,,,
High,21-Aug,,,,,
High,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,,,,,
,21-Aug,CommunityRespoData,CommunityRespoMetadata_updated.csv,chamber.channel,NA,channel of respirometry chamber
,21-Aug,CommunityRespoData,CommunityRespoMetadata_updated.csv,BLANK,NA,indicating control chambers without tile
,21-Aug,CommunityRespoData,CommunityRespoMetadata_updated.csv,start.time,NA,start time of 20 minute respirometry run
,21-Aug,CommunityRespoData,CommunityRespoMetadata_updated.csv,stop.time,NA,end time of 20 minute respirometry run
,21-Aug,CommunityRespoData,CommunityRespoMetadata_updated.csv,VolumeRecorded,NA,measured volume of liquid in respirometry chamber
,21-Aug,CommunityRespoData,CommunityRespoMetadata_updated.csv,Redone,NA,indication of repeated respirometry runs
,21-Aug,CommunityRespoData,AlgalBiomassMetadata,tile,NA,
,,CommunityRespoData,AlgalBiomassMetadata,group,NA,algal functional group
,,CommunityRespoData,AlgalBiomassMetadata,total weight,g,algae and weigh boat
,,,,boat weight,g,only weigh boat
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,CommunityRespoData,PRCommunityRates,Biomass,g,
,,CommunityRespoData,PRCommunityRates,Respiration,,
,,CommunityRespoData,PRCommunityRates,NetPhoto,,
,,CommunityRespoData,PRCommunityRates,GrossPhoto,,
,,YSI,common_garden_20210723.csv,Conductivity_C-us/cm,C-us/cm,
,,YSI,common_garden_20210723.csv,Salinity_SAL-PSU,psu,
,,YSI,common_garden_20210723.csv,Temperature_C,C,
,,NA,Allbiogeochemdata_QC.csv,Salinity,psu,
,,NA,Allbiogeochemdata_QC.csv,Temperature,C,
,,NA,Allbiogeochemdata_QC.csv,TA,,
,,NA,Allbiogeochemdata_QC.csv,Phosphate_umolL,umolL,
,,NA,Allbiogeochemdata_QC.csv,Silicate_umolL,umolL,
,,NA,Allbiogeochemdata_QC.csv,NN_umolL,umolL,
,,NA,Allbiogeochemdata_QC.csv,Ammonia_umolL,umolL,
,,NA,AutoSamplerCarbChem.csv,ALK,,
,,NA,AutoSamplerCarbChem.csv,R*R,,
,,NA,AutoSamplerCarbChem.csv,Vsample,,
,,NA,AutoSamplerCarbChem.csv,Vsample,,
,,NA,AutoSamplerCarbChem.csv,A Vol,mL,
,,NA,AutoSamplerCarbChem.csv,Alk,,
,,NA,AutoSamplerCarbChem.csv,pH_CMORE,,
,,NA,AutoSamplerCarbChem.csv,Temp,C-us/cm,
,,NA,AutoSamplerCarbChem.csv,pH_Craig,,
,,NA,water_column_nutrients_Aug_2020_compiled_final.csv,Phosphate,,
,,NA,water_column_nutrients_Aug_2020_compiled_final.csv,Silicate,,
,,NA,water_column_nutrients_Aug_2020_compiled_final.csv,Nitrite_plus_Nitrate,,
,,NA,water_column_nutrients_Aug_2020_compiled_final.csv,Ammonia,,
,,CarbonateChemistry,pHProbe_Data.csv,Salinity,psu,salinity of water samples recorded at CSUN
,,CarbonateChemistry,pHProbe_Data.csv,TempInSitu,C,CT logger in situ
,,CarbonateChemistry,pHProbe_Data.csv,TA,,total alkalinity recorded at CSUN
,,CarbonateChemistry,pHProbe_Data.csv,TrisCalDate,NA,date of tris calibration 
,,CarbonateChemistry,pHProbe_Data.csv,No_Junk_Run,NA,1 if sample was one of the two first samples in a run with no initial junk samples 
,,CarbonateChemistry,pHProbe_Data.csv,Salinity_Calibration_Date,NA,
,,CarbonateChemistry,TrisCalibrationLog.csv,TrisCalDate,NA,date of tris calibration 
,,CarbonateChemistry,TrisCalibrationLog.csv,TTris,C,temperature of tris at calibration
,,CarbonateChemistry,TrisCalibrationLog.csv,mVTris,mV,mV of tris at calibration
,,CarbonateChemistry,TrisCalibrationLog.csv,HOBO_Orion,NA,instrument used for calibration
,,CarbonateChemistry,salinity_tetiaroa_2021_10_01.csv,Site,NA,site of water sample collection
,,CarbonateChemistry,salinity_tetiaroa_2021_10_01.csv,Control_Seep,NA,treatment
,,CarbonateChemistry,salinity_tetiaroa_2021_10_01.csv,Seep_Code,NA,time grouping of water sample collection 
,,CarbonateChemistry,salinity_tetiaroa_2021_10_01.csv,Date,NA,date of water sample collection
,,CarbonateChemistry,salinity_tetiaroa_2021_10_01.csv,Salinity,psu,salinity of water sample collected in tetiaroa
